COD_DISCIPLINA;SGL_DISCIPLINA;NOM_DISCIPLINA;DSC_TPO_CHORARIA;VAL_CARGA_HORARIA;DSC_EMENTA
146408;1937;Principles of Finance ;Teórica;80;Introduction to Corporate Finance, the importance of Cash Flows, goals of finance management, the balance sheet, the income statement, financial statement analysis, ratio analysis, discount cash flow valuation, investsments. Personal Finance and the 
145904;1405;Projeto Interdisciplinar 2B;Prática;20;Identificação investigação e proposição de soluções para situações-problema que assegurem um movimento de reflexão sobre os conceitos assimilados. Cooperação entre as partes para que se construa o todo ou seja o conhecimento.   Pensamento crítico e a
136769;1907067001;Infraestrutura de Tecnologia da Informação;Prática;20;Fundamentos de arquitetura: placas dispositivos de memória barramentos dispositivos de entrada e saída processadores. Noções de sistemas numéricos: binário decimal e hexadecimal. Tipos de arquiteturas: RISC CISC e arquiteturas avançadas. Conceitos bá
107404;1212009006;Transferência de Calor;Prática;40;Fundamentos de arqui
106855;800086020;Oficina de Filosofia do Conhecimento;Teórica;40;"""""121817"
121817;1010226-40;Tópicos Especiais em Análise e Desenvolvimento de Sistemas;Teórica;40;"Linguagem interpretada Python. Uso prático de linguagem de programação na automatização de tarefas. Introdução a inteligência artificial. Mineração de Dados. Modelos preditivos. Aprendizado de Máquina.""""106872"
104204;800057015;Laboratório de Aprendizagem Integrada 1A;Estudos Autônomos;20;Identidade e autoconhecimento. Equilíbrio e dimensões da vida. Valores e talentos. Projeto de Vida e plano de ação. Conceito de problema complexo. Identificação e categorização de atores envolvidos em problemas complexos. Técnica de corte. Proposição
146208;1718;Fundamentos Pedagógicos da Educação Física;Teórica;60;"Teoria, tendências, métodos e propostas pedagógicas do esporte, da cultura corporal de movimento, das representações corporais da saúde e sociedade. Ética.""""111875"
135256;900050008;Mercado de Capitais e Avaliação de Empresas;Teórica;80;"Mercado de Capitais: Sistema Financeiro Nacional; Mercado de Ações. Bolsas de Valores; Modalidades Operacionais das Bolsas de Valores: Mercado à vista; futuro; a termo; de opções; mercado futuro de Índice derivativos Swap. Títulos Públicos e Privados"
106997;800025037;Literatura Inglesa: Tradição e Contemporaneidade;Teórica;80;O estudo da literatura inglesa é um aspecto importante da cultura dos povos de dois dos países de maior influência e importância para a formação do futuro profissional de língua inglesa. Este estudo propicia um contato com o uso ativo da língua, ampl
117495;TEC110-80;Processos Industriais Orgânicos e Inorgânicos Na Produção;Teórica;80;Águas, sais de sódio, enxofre, indústrias do nitrogênio, fosfatos e fertilizantes, pigmentos, siderurgia, metalurgia de metais ferrosos e de não ferrosos. Petróleo: origem, distribuição, reservas, refino, reforma, aromatização e craking. Óleos e gord
143409;2004000091;Práticas de Clínica Corporal;Prática;80;"Estudo das técnicas de tratamento estético corporal relacionadas aos procedimentos estéticos manuais  e com a utilização de equipamentos específicos. Efeitos dos recursos na fisiologia das disfunções estéticas corporais.""""145973"
89072;408060055;Administração Financeira;Teórica;80;Sistema Financeiro Nacional: órgãos componentes e suas respectivas funções. Cálculo com juros simples e compostos. Formas de captação e investimento de recursos. Séries de pagamentos. Amortização e tabelas Price e SAC. Análise de projetos: Payback, T
146198;1708;Bases do Treinamento Físico Esportivo;Teórica;60;Histórico, teorias e tendências atuais e finalidades do treinamento desportivo. Estudo dos métodos e sistemas fundamentais da Teoria do Treinamento Desportivo. Princípios científicos do treinamento desportivo. Estrutura, periodização e controle do tr
124562;1512000266;Desenvolvimentos para Dispositivos Móveis;Teórica;80;"Aplicações executadas em dispositivos móveis, tipicamente telefones celulares, smartphones, PDAs (Personal Digital Assistant) e tablets.""""145602"
